Date,Average_temp,max_wind_velocity,avr_wind_velocity
2022-07-02,28.8,3.4,1.7
2022-07-03,29.3,3.8,1.7
2022-07-04,29.3,4.5,1.8
2022-07-05,29.2,4.2,1.7
2022-07-06,29.5,5.3,2.1
2022-07-07,28.2,5.4,2.8
2022-07-08,25.8,4.7,2.9
2022-07-09,26.9,3.4,1.7
2022-07-10,29.2,3.9,1.7
2022-07-11,27,5.3,1.8
2022-07-12,26.8,3.6,2.2
2022-07-13,25,3.9,1.8
2022-07-14,25.7,4.1,2.3
2022-07-15,26,5,2.3
2022-07-16,24.8,5.3,2
2022-07-17,25.5,4.4,1.8
2022-07-18,26.8,3.9,2.2
2022-07-19,27.4,4.8,2.3
2022-07-20,27.1,4.5,2.2
2022-07-21,23.2,5.5,2.9
2022-07-22,25.1,3.4,1.9
2022-07-23,24.8,3.9,2
2022-07-24,25,3.7,2.1
2022-07-25,27.5,3.6,1.9
2022-07-26,28.9,3.8,1.8
2022-07-27,29.3,4.4,2
2022-07-28,29.7,3.8,2.4
2022-07-29,30.7,4.4,2.2
2022-07-30,30.9,5.6,2.6
2022-07-31,27.2,3.9,2.5
2022-08-01,28.6,4.6,2.4